Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Belarus,BLR,10189000,10005000,9560000,9528000,9507000,9490000,9473000,9464000,9466000,9483000,9513000,..
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,10625700,10709973,10796493,10895586,11047744,11128246,11182817,11231213,11285721,..
"Population, total",SP.POP.TOTL,Belize,BLZ,187552,247312,298403,306165,313925,321609,329193,336707,344193,351706,359287,..
"Population, total",SP.POP.TOTL,Benin,BEN,5001271,6949366,8707637,8973525,9240982,9509798,9779391,10049792,10322232,10598482,10879829,..
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,64888,65273,65636,65124,64564,64798,65001,65139,65235,..
"Population, total",SP.POP.TOTL,Bhutan,BTN,535505,564187,681471,694990,707830,720246,732246,743711,754637,765008,774830,..
"Population, total",SP.POP.TOTL,Bolivia,BOL,6856246,8339512,9441482,9599916,9758799,9918245,10078238,10238762,10399931,10561887,10724705,..
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4526996,3792878,3840418,3839749,3837732,3835258,3832310,3828419,3823533,3817554,3810416,..
"Population, total",SP.POP.TOTL,Botswana,BWA,1379814,1736579,1930431,1967866,2007212,2047831,2089706,2132822,2176510,2219937,2262485,..
"Population, total",SP.POP.TOTL,Brazil,BRA,150393143,175786441,192784521,194769696,196701298,198614208,200517584,202401584,204259377,206077898,207847528,..
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,16459,20643,24735,25604,26450,27223,27906,28511,29058,29585,30117,..
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,256939,330554,374459,380786,387080,393302,399443,405512,411499,417394,423188,..
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,..
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,8811033,11607944,14264002,14709011,15165856,15632066,16106851,16590813,17084554,17589198,18105570,..
"Population, total",SP.POP.TOTL,Burundi,BDI,5613141,6767073,8514578,8821795,9137786,9461117,9790151,10124572,10465959,10816860,11178921,..
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,341256,438737,481278,483824,486673,490379,495159,500870,507258,513906,520502,..
"Population, total",SP.POP.TOTL,Cambodia,KHM,9008856,12197905,13728700,13933660,14144337,14363586,14593099,14832255,15078564,15328136,15577899,..
"Population, total",SP.POP.TOTL,Cameroon,CMR,12070359,15927713,19078100,19570418,20074522,20590666,21119065,21659488,22211166,22773014,23344179,..
"Population, total",SP.POP.TOTL,Canada,CAN,27791000,30769700,32887928,33245773,33628571,34005274,34342780,34751476,35155499,35543658,35851774,..
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,25009,41685,51480,52925,54285,55509,56580,57522,58369,59172,59967,..
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2937832,3726048,4202104,4280405,4361492,4444973,4530903,4619500,4710678,4804316,4900274,..
"Population, total",SP.POP.TOTL,Chad,TCD,5958022,8343321,10779504,11139740,11510535,11896380,12298512,12715465,13145788,13587053,14037472,..
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140669,148725,156516,157587,158613,159583,160489,161336,162138,162917,163692,..
"Population, total",SP.POP.TOTL,Chile,CHL,13141202,15170387,16462701,16645940,16829957,17015048,17201305,17388437,17575833,17762647,17948141,..
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,..
"Population, total",SP.POP.TOTL,Colombia,COL,34271563,40403959,44374647,44901660,45416276,45918101,46406446,46881018,47342363,47791393,48228704,..
"Population, total",SP.POP.TOTL,Comoros,COM,415144,547696,649404,665414,681845,698695,715972,733661,751697,769991,788474,..
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",ZAR,34962676,48048664,59834875,61809278,63845097,65938712,68087376,70291160,72552861,74877030,77266814,..
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2386467,3109269,3715665,3832771,3950786,4066078,4177435,4286188,4394334,4504962,4620330,..
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3095994,3925450,4369465,4429506,4488261,4545273,4600487,4654148,4706433,4757606,4807850,..
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,12165909,16517948,18862172,19261647,19684909,20131707,20604172,21102641,21622490,22157107,22701556,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4780000,4426000,4436000,4434508,4429078,4417781,4280622,4267558,4255689,4238389,4224404,..
"Population, total",SP.POP.TOTL,Cuba,CUB,10582082,11116787,11284043,11290239,11297442,11308133,11323570,11342631,11362505,11379111,11389562,..
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,133860,144056,145880,146833,148703,150831,152088,153822,155909,158040,..
"Population, total",SP.POP.TOTL,Cyprus,CYP,766611,943287,1063040,1077010,1090486,1103685,1116644,1129303,1141652,1153658,1165300,..
