Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60802085,..
"Population, total",SP.POP.TOTL,Jamaica,JAM,2390000,2589389,2662481,2671934,2681386,2690824,2699838,2707805,2714669,2720554,2725941,..
"Population, total",SP.POP.TOTL,Japan,JPN,123537000,126843000,128001000,128063000,128047000,128070000,127817277,127561489,127338621,127131800,126958472,..
"Population, total",SP.POP.TOTL,Jordan,JOR,3358453,4767476,5759424,6010035,6266865,6517912,6760371,6994451,7214832,7416083,7594547,..
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16348000,14883626,15484192,15674000,16092701,16321581,16556600,16791425,17035275,17289224,17544126,..
"Population, total",SP.POP.TOTL,Kenya,KEN,23446229,31065820,37250540,38244442,39269988,40328313,41419954,42542978,43692881,44863583,46050302,..
"Population, total",SP.POP.TOTL,Kiribati,KIR,72411,84406,96310,98437,100566,102648,104662,106620,108544,110470,112423,..
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,20194354,22840218,24111945,24243829,24371806,24500506,24631359,24763353,24895705,25026772,25155317,..
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,42869283,47008111,48597652,48948698,49182038,49410366,49779440,50004441,50219669,50423955,50617045,..
"Population, total",SP.POP.TOTL,Kosovo,KSV,1862000,1700000,1733404,1747383,1761474,1775680,1790957,1805200,1818117,1812771,1797151,..
"Population, total",SP.POP.TOTL,Kuwait,KWT,2058832,1929470,2538591,2705290,2881243,3059473,3239181,3419581,3593689,3753121,3892115,..
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391200,4898400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5957000,..
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4247839,5342879,5939634,6045439,6153153,6260544,6366909,6473050,6579985,6689300,6802023,..
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1978440,..
"Population, total",SP.POP.TOTL,Lebanon,LBN,2703019,3235380,4085426,4109389,4181742,4337156,4591698,4924257,5286990,5612096,5850743,..
"Population, total",SP.POP.TOTL,Lesotho,LSO,1597534,1856225,1955656,1972194,1990413,2010586,2032950,2057331,2083061,2109197,2135022,..
"Population, total",SP.POP.TOTL,Liberia,LBR,2102877,2891968,3522337,3672782,3821498,3957990,4079574,4190155,4293692,4396554,4503438,..
"Population, total",SP.POP.TOTL,Libya,LBY,4398419,5337264,6017794,6123022,6208680,6265697,6288652,6283403,6265987,6258984,6278438,..
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28745,33282,35431,35721,36004,36276,36537,36791,37040,37286,37531,..
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2910199,..
